Stations,Tuesday (6th March 2018) [5pm - 8pm],Tuesday (6th March 2018) [8pm - 11pm],Wednesday (7th March 2018) [9am - 12pm],Wednesday (7th March 2018) [12pm - 3pm],Wednesday (7th March 2018) [3pm - 5pm],Wednesday (7th March 2018) [5pm - 8pm],Wednesday (7th March 2018) [8pm - 11pm],Thursday (8th March 2018) [9am - 12pm],Thursday (8th March 2018) [12pm - 3pm],Thursday (8th March 2018) [3pm - 6pm],Thursday (8th March 2018) [6pm - 8pm ],Thursday (8th March 2018) [8pm - 10pm],Friday (9th March 2018) [7am - 8am],Friday (9th March 2018) [8am - 9am],Friday (9th March 2018) [9am - 10 am],Friday (9th March 2018) [10am - 11am],Friday (9th March 2018) [11am - 12pm],Friday (9th March 2018) [12pm - 1pm],Friday (9th March 2018) [1pm - 2pm],Friday (9th March 2018) [2pm - 3pm],Friday (9th March 2018) [3pm - 4pm],Friday (9th March 2018) [4pm - 5pm],Saturday (10th March 2018) [7am - 8am],Saturday (10th March 2018) [8am - 9am],Saturday (10th March 2018) [9am - 10 am],Saturday (10th March 2018) [10am - 11am],Saturday (10th March 2018) [11am - 12pm],Saturday (10th March 2018) [12pm - 1pm],Saturday (10th March 2018) [1pm - 2pm],Saturday (10th March 2018) [2pm - 3pm],Saturday (10th March 2018) [3pm - 4pm],Saturday (10th March 2018) [4pm - 5pm],Saturday (10th March 2018) [5pm - 6pm],Sunday (11th March 2018) [8am - 11am],Sunday (11th March 2018) [11am - 2pm],Sunday (11th March 2018) [2pm - 4pm],Sunday (11th March 2018) [4pm - 6pm]
Safety,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,0,13,13,13,13,13,13,13,13,13,13,0,0,0,0
Traffic,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,0,0,0,0,0
Midwest Robotics Design Competition (MRDC),8,8,8,8,8,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10
Equipment,0,0,0,0,0,0,0,0,0,0,10,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0
Illini Engineering Challenge,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0
Middle School Design Competition (MSDC),0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High School Design Competition (HSDC),0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Discover EOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0
Photography,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,0,0,0,3,3,3,3,3,3,3,0,0,0,0,0,0
General Volunteer,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,8,8,8,8,8,8,15,2,3,8,8,8,8,8,8,8,15,15,0,0,0,0
Judging Assistant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merchandise,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,6,6,6,6,6,0,0,3,6,6,6,6,6,6,6,0,0,0,0,0,0
Visitor's Booth,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0